"STATISTIC Label","Year","Age Group","Sex","Region","UNIT","VALUE"
"Estimated Population (Persons in April)","2012","70 - 74 years","Both sexes","Midland","Thousand","7.7"
"Estimated Population (Persons in April)","2012","70 - 74 years","Male","State","Thousand","64.6"
"Estimated Population (Persons in April)","2012","70 - 74 years","Male","Border","Thousand","6.2"
"Estimated Population (Persons in April)","2012","70 - 74 years","Male","West","Thousand","7"
"Estimated Population (Persons in April)","2012","70 - 74 years","Male","Mid-West","Thousand","7.3"
"Estimated Population (Persons in April)","2012","70 - 74 years","Male","South-East","Thousand","6.5"
"Estimated Population (Persons in April)","2012","70 - 74 years","Male","South-West","Thousand","10"
"Estimated Population (Persons in April)","2012","70 - 74 years","Male","Dublin","Thousand","16.1"
"Estimated Population (Persons in April)","2012","70 - 74 years","Male","Mid-East","Thousand","7.8"
"Estimated Population (Persons in April)","2012","70 - 74 years","Male","Midland","Thousand","3.8"
"Estimated Population (Persons in April)","2012","70 - 74 years","Female","State","Thousand","68.5"
"Estimated Population (Persons in April)","2012","70 - 74 years","Female","Border","Thousand","6.1"
"Estimated Population (Persons in April)","2012","70 - 74 years","Female","West","Thousand","6.8"
"Estimated Population (Persons in April)","2012","70 - 74 years","Female","Mid-West","Thousand","7.5"
"Estimated Population (Persons in April)","2012","70 - 74 years","Female","South-East","Thousand","6.4"
"Estimated Population (Persons in April)","2012","70 - 74 years","Female","South-West","Thousand","10.7"
"Estimated Population (Persons in April)","2012","70 - 74 years","Female","Dublin","Thousand","19.1"
"Estimated Population (Persons in April)","2012","70 - 74 years","Female","Mid-East","Thousand","8"
"Estimated Population (Persons in April)","2012","70 - 74 years","Female","Midland","Thousand","3.9"
"Estimated Population (Persons in April)","2012","75 - 79 years","Both sexes","State","Thousand","103.9"
"Estimated Population (Persons in April)","2012","75 - 79 years","Both sexes","Border","Thousand","9.9"
"Estimated Population (Persons in April)","2012","75 - 79 years","Both sexes","West","Thousand","10.9"
"Estimated Population (Persons in April)","2012","75 - 79 years","Both sexes","Mid-West","Thousand","11.4"
"Estimated Population (Persons in April)","2012","75 - 79 years","Both sexes","South-East","Thousand","9.9"
"Estimated Population (Persons in April)","2012","75 - 79 years","Both sexes","South-West","Thousand","16.1"
"Estimated Population (Persons in April)","2012","75 - 79 years","Both sexes","Dublin","Thousand","28"
"Estimated Population (Persons in April)","2012","75 - 79 years","Both sexes","Mid-East","Thousand","11.3"
"Estimated Population (Persons in April)","2012","75 - 79 years","Both sexes","Midland","Thousand","6.4"
"Estimated Population (Persons in April)","2012","75 - 79 years","Male","State","Thousand","47.8"
"Estimated Population (Persons in April)","2012","75 - 79 years","Male","Border","Thousand","4.7"
"Estimated Population (Persons in April)","2012","75 - 79 years","Male","West","Thousand","5.3"
"Estimated Population (Persons in April)","2012","75 - 79 years","Male","Mid-West","Thousand","5.4"
"Estimated Population (Persons in April)","2012","75 - 79 years","Male","South-East","Thousand","4.6"
"Estimated Population (Persons in April)","2012","75 - 79 years","Male","South-West","Thousand","7.4"
"Estimated Population (Persons in April)","2012","75 - 79 years","Male","Dublin","Thousand","12.1"
"Estimated Population (Persons in April)","2012","75 - 79 years","Male","Mid-East","Thousand","5.2"
"Estimated Population (Persons in April)","2012","75 - 79 years","Male","Midland","Thousand","3.1"
"Estimated Population (Persons in April)","2012","75 - 79 years","Female","State","Thousand","56.1"
"Estimated Population (Persons in April)","2012","75 - 79 years","Female","Border","Thousand","5.2"
"Estimated Population (Persons in April)","2012","75 - 79 years","Female","West","Thousand","5.6"
"Estimated Population (Persons in April)","2012","75 - 79 years","Female","Mid-West","Thousand","6"
"Estimated Population (Persons in April)","2012","75 - 79 years","Female","South-East","Thousand","5.2"
"Estimated Population (Persons in April)","2012","75 - 79 years","Female","South-West","Thousand","8.8"
"Estimated Population (Persons in April)","2012","75 - 79 years","Female","Dublin","Thousand","16"
"Estimated Population (Persons in April)","2012","75 - 79 years","Female","Mid-East","Thousand","6.1"
"Estimated Population (Persons in April)","2012","75 - 79 years","Female","Midland","Thousand","3.3"
"Estimated Population (Persons in April)","2012","80 - 84 years","Both sexes","State","Thousand","71.5"
"Estimated Population (Persons in April)","2012","80 - 84 years","Both sexes","Border","Thousand","7"
"Estimated Population (Persons in April)","2012","80 - 84 years","Both sexes","West","Thousand","7.9"
"Estimated Population (Persons in April)","2012","80 - 84 years","Both sexes","Mid-West","Thousand","7.9"
"Estimated Population (Persons in April)","2012","80 - 84 years","Both sexes","South-East","Thousand","6.6"
"Estimated Population (Persons in April)","2012","80 - 84 years","Both sexes","South-West","Thousand","11.2"
"Estimated Population (Persons in April)","2012","80 - 84 years","Both sexes","Dublin","Thousand","19.4"
"Estimated Population (Persons in April)","2012","80 - 84 years","Both sexes","Mid-East","Thousand","7.4"
"Estimated Population (Persons in April)","2012","80 - 84 years","Both sexes","Midland","Thousand","4.2"
"Estimated Population (Persons in April)","2012","80 - 84 years","Male","State","Thousand","29.6"
"Estimated Population (Persons in April)","2012","80 - 84 years","Male","Border","Thousand","3.1"
"Estimated Population (Persons in April)","2012","80 - 84 years","Male","West","Thousand","3.5"
"Estimated Population (Persons in April)","2012","80 - 84 years","Male","Mid-West","Thousand","3.4"
"Estimated Population (Persons in April)","2012","80 - 84 years","Male","South-East","Thousand","2.9"
"Estimated Population (Persons in April)","2012","80 - 84 years","Male","South-West","Thousand","4.6"
"Estimated Population (Persons in April)","2012","80 - 84 years","Male","Dublin","Thousand","7.4"
"Estimated Population (Persons in April)","2012","80 - 84 years","Male","Mid-East","Thousand","3.1"
"Estimated Population (Persons in April)","2012","80 - 84 years","Male","Midland","Thousand","1.8"
"Estimated Population (Persons in April)","2012","80 - 84 years","Female","State","Thousand","41.9"
"Estimated Population (Persons in April)","2012","80 - 84 years","Female","Border","Thousand","3.9"
"Estimated Population (Persons in April)","2012","80 - 84 years","Female","West","Thousand","4.5"
"Estimated Population (Persons in April)","2012","80 - 84 years","Female","Mid-West","Thousand","4.5"
"Estimated Population (Persons in April)","2012","80 - 84 years","Female","South-East","Thousand","3.7"
"Estimated Population (Persons in April)","2012","80 - 84 years","Female","South-West","Thousand","6.6"
"Estimated Population (Persons in April)","2012","80 - 84 years","Female","Dublin","Thousand","12"
"Estimated Population (Persons in April)","2012","80 - 84 years","Female","Mid-East","Thousand","4.3"
"Estimated Population (Persons in April)","2012","80 - 84 years","Female","Midland","Thousand","2.4"
"Estimated Population (Persons in April)","2012","85 years and over","Both sexes","State","Thousand","59.8"
"Estimated Population (Persons in April)","2012","85 years and over","Both sexes","Border","Thousand","6.4"
"Estimated Population (Persons in April)","2012","85 years and over","Both sexes","West","Thousand","7.1"
"Estimated Population (Persons in April)","2012","85 years and over","Both sexes","Mid-West","Thousand","6.5"
"Estimated Population (Persons in April)","2012","85 years and over","Both sexes","South-East","Thousand","5.4"
"Estimated Population (Persons in April)","2012","85 years and over","Both sexes","South-West","Thousand","9.1"
"Estimated Population (Persons in April)","2012","85 years and over","Both sexes","Dublin","Thousand","15.3"
"Estimated Population (Persons in April)","2012","85 years and over","Both sexes","Mid-East","Thousand","6.5"
"Estimated Population (Persons in April)","2012","85 years and over","Both sexes","Midland","Thousand","3.6"
"Estimated Population (Persons in April)","2012","85 years and over","Male","State","Thousand","19"
"Estimated Population (Persons in April)","2012","85 years and over","Male","Border","Thousand","2.1"
"Estimated Population (Persons in April)","2012","85 years and over","Male","West","Thousand","2.3"
"Estimated Population (Persons in April)","2012","85 years and over","Male","Mid-West","Thousand","2.1"
"Estimated Population (Persons in April)","2012","85 years and over","Male","South-East","Thousand","1.8"
"Estimated Population (Persons in April)","2012","85 years and over","Male","South-West","Thousand","2.8"
"Estimated Population (Persons in April)","2012","85 years and over","Male","Dublin","Thousand","4.6"
"Estimated Population (Persons in April)","2012","85 years and over","Male","Mid-East","Thousand","2"
"Estimated Population (Persons in April)","2012","85 years and over","Male","Midland","Thousand","1.2"
"Estimated Population (Persons in April)","2012","85 years and over","Female","State","Thousand","40.8"
"Estimated Population (Persons in April)","2012","85 years and over","Female","Border","Thousand","4.3"
"Estimated Population (Persons in April)","2012","85 years and over","Female","West","Thousand","4.8"
"Estimated Population (Persons in April)","2012","85 years and over","Female","Mid-West","Thousand","4.4"
"Estimated Population (Persons in April)","2012","85 years and over","Female","South-East","Thousand","3.6"
"Estimated Population (Persons in April)","2012","85 years and over","Female","South-West","Thousand","6.3"
"Estimated Population (Persons in April)","2012","85 years and over","Female","Dublin","Thousand","10.6"
"Estimated Population (Persons in April)","2012","85 years and over","Female","Mid-East","Thousand","4.6"
"Estimated Population (Persons in April)","2012","85 years and over","Female","Midland","Thousand","2.3"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","State","Thousand","4593.7"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Border","Thousand","392.1"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","West","Thousand","439.4"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Mid-West","Thousand","470.6"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","South-East","Thousand","411.6"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","South-West","Thousand","667.4"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Dublin","Thousand","1260.6"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Mid-East","Thousand","664.7"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Midland","Thousand","287.2"
"Estimated Population (Persons in April)","2012","All ages","Male","State","Thousand","2275"
"Estimated Population (Persons in April)","2012","All ages","Male","Border","Thousand","197.7"
"Estimated Population (Persons in April)","2012","All ages","Male","West","Thousand","219"
"Estimated Population (Persons in April)","2012","All ages","Male","Mid-West","Thousand","235.8"
"Estimated Population (Persons in April)","2012","All ages","Male","South-East","Thousand","204.9"
"Estimated Population (Persons in April)","2012","All ages","Male","South-West","Thousand","331.9"
"Estimated Population (Persons in April)","2012","All ages","Male","Dublin","Thousand","612.2"
"Estimated Population (Persons in April)","2012","All ages","Male","Mid-East","Thousand","330.2"
"Estimated Population (Persons in April)","2012","All ages","Male","Midland","Thousand","143.4"
"Estimated Population (Persons in April)","2012","All ages","Female","State","Thousand","2318.7"
"Estimated Population (Persons in April)","2012","All ages","Female","Border","Thousand","194.4"
"Estimated Population (Persons in April)","2012","All ages","Female","West","Thousand","220.5"
"Estimated Population (Persons in April)","2012","All ages","Female","Mid-West","Thousand","234.8"
"Estimated Population (Persons in April)","2012","All ages","Female","South-East","Thousand","206.7"
"Estimated Population (Persons in April)","2012","All ages","Female","South-West","Thousand","335.5"
"Estimated Population (Persons in April)","2012","All ages","Female","Dublin","Thousand","648.5"
"Estimated Population (Persons in April)","2012","All ages","Female","Mid-East","Thousand","334.5"
"Estimated Population (Persons in April)","2012","All ages","Female","Midland","Thousand","143.8"
"Estimated Population (Persons in April)","2013","0 - 4 years","Both sexes","State","Thousand","353"
"Estimated Population (Persons in April)","2013","0 - 4 years","Both sexes","Border","Thousand","30.2"
"Estimated Population (Persons in April)","2013","0 - 4 years","Both sexes","West","Thousand","32.6"
"Estimated Population (Persons in April)","2013","0 - 4 years","Both sexes","Mid-West","Thousand","34.4"
"Estimated Population (Persons in April)","2013","0 - 4 years","Both sexes","South-East","Thousand","31.4"
"Estimated Population (Persons in April)","2013","0 - 4 years","Both sexes","South-West","Thousand","50.1"
"Estimated Population (Persons in April)","2013","0 - 4 years","Both sexes","Dublin","Thousand","92.7"
"Estimated Population (Persons in April)","2013","0 - 4 years","Both sexes","Mid-East","Thousand","57.8"
"Estimated Population (Persons in April)","2013","0 - 4 years","Both sexes","Midland","Thousand","23.9"
"Estimated Population (Persons in April)","2013","0 - 4 years","Male","State","Thousand","180"
"Estimated Population (Persons in April)","2013","0 - 4 years","Male","Border","Thousand","15.5"
"Estimated Population (Persons in April)","2013","0 - 4 years","Male","West","Thousand","16.7"
"Estimated Population (Persons in April)","2013","0 - 4 years","Male","Mid-West","Thousand","17.6"
"Estimated Population (Persons in April)","2013","0 - 4 years","Male","South-East","Thousand","16.1"
"Estimated Population (Persons in April)","2013","0 - 4 years","Male","South-West","Thousand","25.6"
"Estimated Population (Persons in April)","2013","0 - 4 years","Male","Dublin","Thousand","46.9"
"Estimated Population (Persons in April)","2013","0 - 4 years","Male","Mid-East","Thousand","29.3"
"Estimated Population (Persons in April)","2013","0 - 4 years","Male","Midland","Thousand","12.3"
"Estimated Population (Persons in April)","2013","0 - 4 years","Female","State","Thousand","173.1"
"Estimated Population (Persons in April)","2013","0 - 4 years","Female","Border","Thousand","14.7"
"Estimated Population (Persons in April)","2013","0 - 4 years","Female","West","Thousand","15.9"
"Estimated Population (Persons in April)","2013","0 - 4 years","Female","Mid-West","Thousand","16.8"
"Estimated Population (Persons in April)","2013","0 - 4 years","Female","South-East","Thousand","15.3"
"Estimated Population (Persons in April)","2013","0 - 4 years","Female","South-West","Thousand","24.5"
"Estimated Population (Persons in April)","2013","0 - 4 years","Female","Dublin","Thousand","45.8"
"Estimated Population (Persons in April)","2013","0 - 4 years","Female","Mid-East","Thousand","28.5"
"Estimated Population (Persons in April)","2013","0 - 4 years","Female","Midland","Thousand","11.6"
"Estimated Population (Persons in April)","2013","5 - 9 years","Both sexes","State","Thousand","333"
"Estimated Population (Persons in April)","2013","5 - 9 years","Both sexes","Border","Thousand","29.5"
"Estimated Population (Persons in April)","2013","5 - 9 years","Both sexes","West","Thousand","31.7"
"Estimated Population (Persons in April)","2013","5 - 9 years","Both sexes","Mid-West","Thousand","33.8"
"Estimated Population (Persons in April)","2013","5 - 9 years","Both sexes","South-East","Thousand","30.7"
"Estimated Population (Persons in April)","2013","5 - 9 years","Both sexes","South-West","Thousand","47.3"
"Estimated Population (Persons in April)","2013","5 - 9 years","Both sexes","Dublin","Thousand","82"
"Estimated Population (Persons in April)","2013","5 - 9 years","Both sexes","Mid-East","Thousand","55.1"
"Estimated Population (Persons in April)","2013","5 - 9 years","Both sexes","Midland","Thousand","23"
"Estimated Population (Persons in April)","2013","5 - 9 years","Male","State","Thousand","170.7"
"Estimated Population (Persons in April)","2013","5 - 9 years","Male","Border","Thousand","15.2"
"Estimated Population (Persons in April)","2013","5 - 9 years","Male","West","Thousand","16.2"
"Estimated Population (Persons in April)","2013","5 - 9 years","Male","Mid-West","Thousand","17.1"
"Estimated Population (Persons in April)","2013","5 - 9 years","Male","South-East","Thousand","15.8"
"Estimated Population (Persons in April)","2013","5 - 9 years","Male","South-West","Thousand","24.1"
"Estimated Population (Persons in April)","2013","5 - 9 years","Male","Dublin","Thousand","42.1"
"Estimated Population (Persons in April)","2013","5 - 9 years","Male","Mid-East","Thousand","28.3"
"Estimated Population (Persons in April)","2013","5 - 9 years","Male","Midland","Thousand","11.9"
"Estimated Population (Persons in April)","2013","5 - 9 years","Female","State","Thousand","162.3"
"Estimated Population (Persons in April)","2013","5 - 9 years","Female","Border","Thousand","14.2"
"Estimated Population (Persons in April)","2013","5 - 9 years","Female","West","Thousand","15.5"
"Estimated Population (Persons in April)","2013","5 - 9 years","Female","Mid-West","Thousand","16.6"
"Estimated Population (Persons in April)","2013","5 - 9 years","Female","South-East","Thousand","14.9"
"Estimated Population (Persons in April)","2013","5 - 9 years","Female","South-West","Thousand","23.2"
"Estimated Population (Persons in April)","2013","5 - 9 years","Female","Dublin","Thousand","39.9"
"Estimated Population (Persons in April)","2013","5 - 9 years","Female","Mid-East","Thousand","26.8"
"Estimated Population (Persons in April)","2013","5 - 9 years","Female","Midland","Thousand","11.2"
"Estimated Population (Persons in April)","2013","10 - 14 years","Both sexes","State","Thousand","307.9"
"Estimated Population (Persons in April)","2013","10 - 14 years","Both sexes","Border","Thousand","28"
"Estimated Population (Persons in April)","2013","10 - 14 years","Both sexes","West","Thousand","29.8"
"Estimated Population (Persons in April)","2013","10 - 14 years","Both sexes","Mid-West","Thousand","31.9"
"Estimated Population (Persons in April)","2013","10 - 14 years","Both sexes","South-East","Thousand","29.4"
"Estimated Population (Persons in April)","2013","10 - 14 years","Both sexes","South-West","Thousand","44.1"
"Estimated Population (Persons in April)","2013","10 - 14 years","Both sexes","Dublin","Thousand","73.9"
"Estimated Population (Persons in April)","2013","10 - 14 years","Both sexes","Mid-East","Thousand","49.5"
"Estimated Population (Persons in April)","2013","10 - 14 years","Both sexes","Midland","Thousand","21.3"
"Estimated Population (Persons in April)","2013","10 - 14 years","Male","State","Thousand","157.1"
"Estimated Population (Persons in April)","2013","10 - 14 years","Male","Border","Thousand","14.3"
"Estimated Population (Persons in April)","2013","10 - 14 years","Male","West","Thousand","15.1"
"Estimated Population (Persons in April)","2013","10 - 14 years","Male","Mid-West","Thousand","16"
"Estimated Population (Persons in April)","2013","10 - 14 years","Male","South-East","Thousand","15"
"Estimated Population (Persons in April)","2013","10 - 14 years","Male","South-West","Thousand","22.8"
"Estimated Population (Persons in April)","2013","10 - 14 years","Male","Dublin","Thousand","37.4"
"Estimated Population (Persons in April)","2013","10 - 14 years","Male","Mid-East","Thousand","25.6"
"Estimated Population (Persons in April)","2013","10 - 14 years","Male","Midland","Thousand","10.9"
"Estimated Population (Persons in April)","2013","10 - 14 years","Female","State","Thousand","150.8"
"Estimated Population (Persons in April)","2013","10 - 14 years","Female","Border","Thousand","13.7"
"Estimated Population (Persons in April)","2013","10 - 14 years","Female","West","Thousand","14.7"
"Estimated Population (Persons in April)","2013","10 - 14 years","Female","Mid-West","Thousand","15.9"
"Estimated Population (Persons in April)","2013","10 - 14 years","Female","South-East","Thousand","14.4"
"Estimated Population (Persons in April)","2013","10 - 14 years","Female","South-West","Thousand","21.4"
"Estimated Population (Persons in April)","2013","10 - 14 years","Female","Dublin","Thousand","36.5"
"Estimated Population (Persons in April)","2013","10 - 14 years","Female","Mid-East","Thousand","23.9"
"Estimated Population (Persons in April)","2013","10 - 14 years","Female","Midland","Thousand","10.4"
"Estimated Population (Persons in April)","2013","15 - 19 years","Both sexes","State","Thousand","284.4"
"Estimated Population (Persons in April)","2013","15 - 19 years","Both sexes","Border","Thousand","26.3"
"Estimated Population (Persons in April)","2013","15 - 19 years","Both sexes","West","Thousand","27.6"
"Estimated Population (Persons in April)","2013","15 - 19 years","Both sexes","Mid-West","Thousand","30.5"
"Estimated Population (Persons in April)","2013","15 - 19 years","Both sexes","South-East","Thousand","26.6"
"Estimated Population (Persons in April)","2013","15 - 19 years","Both sexes","South-West","Thousand","42.2"
"Estimated Population (Persons in April)","2013","15 - 19 years","Both sexes","Dublin","Thousand","70"
"Estimated Population (Persons in April)","2013","15 - 19 years","Both sexes","Mid-East","Thousand","42.3"
"Estimated Population (Persons in April)","2013","15 - 19 years","Both sexes","Midland","Thousand","18.9"
"Estimated Population (Persons in April)","2013","15 - 19 years","Male","State","Thousand","145.9"
"Estimated Population (Persons in April)","2013","15 - 19 years","Male","Border","Thousand","13.6"
"Estimated Population (Persons in April)","2013","15 - 19 years","Male","West","Thousand","14.2"
"Estimated Population (Persons in April)","2013","15 - 19 years","Male","Mid-West","Thousand","15.7"
"Estimated Population (Persons in April)","2013","15 - 19 years","Male","South-East","Thousand","13.6"
"Estimated Population (Persons in April)","2013","15 - 19 years","Male","South-West","Thousand","21.6"
"Estimated Population (Persons in April)","2013","15 - 19 years","Male","Dublin","Thousand","36.2"
"Estimated Population (Persons in April)","2013","15 - 19 years","Male","Mid-East","Thousand","21.5"
"Estimated Population (Persons in April)","2013","15 - 19 years","Male","Midland","Thousand","9.5"
"Estimated Population (Persons in April)","2013","15 - 19 years","Female","State","Thousand","138.5"
"Estimated Population (Persons in April)","2013","15 - 19 years","Female","Border","Thousand","12.8"
"Estimated Population (Persons in April)","2013","15 - 19 years","Female","West","Thousand","13.4"
"Estimated Population (Persons in April)","2013","15 - 19 years","Female","Mid-West","Thousand","14.8"
"Estimated Population (Persons in April)","2013","15 - 19 years","Female","South-East","Thousand","13"
"Estimated Population (Persons in April)","2013","15 - 19 years","Female","South-West","Thousand","20.5"
"Estimated Population (Persons in April)","2013","15 - 19 years","Female","Dublin","Thousand","33.8"
"Estimated Population (Persons in April)","2013","15 - 19 years","Female","Mid-East","Thousand","20.7"
"Estimated Population (Persons in April)","2013","15 - 19 years","Female","Midland","Thousand","9.4"
"Estimated Population (Persons in April)","2013","20 - 24 years","Both sexes","State","Thousand","278.9"
"Estimated Population (Persons in April)","2013","20 - 24 years","Both sexes","Border","Thousand","21"
"Estimated Population (Persons in April)","2013","20 - 24 years","Both sexes","West","Thousand","26"
"Estimated Population (Persons in April)","2013","20 - 24 years","Both sexes","Mid-West","Thousand","27.8"
"Estimated Population (Persons in April)","2013","20 - 24 years","Both sexes","South-East","Thousand","23"
"Estimated Population (Persons in April)","2013","20 - 24 years","Both sexes","South-West","Thousand","41.7"
"Estimated Population (Persons in April)","2013","20 - 24 years","Both sexes","Dublin","Thousand","86.3"
"Estimated Population (Persons in April)","2013","20 - 24 years","Both sexes","Mid-East","Thousand","36.7"
"Estimated Population (Persons in April)","2013","20 - 24 years","Both sexes","Midland","Thousand","16.4"
"Estimated Population (Persons in April)","2013","20 - 24 years","Male","State","Thousand","140.1"
"Estimated Population (Persons in April)","2013","20 - 24 years","Male","Border","Thousand","10.2"
"Estimated Population (Persons in April)","2013","20 - 24 years","Male","West","Thousand","13.4"
"Estimated Population (Persons in April)","2013","20 - 24 years","Male","Mid-West","Thousand","14.3"
"Estimated Population (Persons in April)","2013","20 - 24 years","Male","South-East","Thousand","11.6"
"Estimated Population (Persons in April)","2013","20 - 24 years","Male","South-West","Thousand","21.7"
"Estimated Population (Persons in April)","2013","20 - 24 years","Male","Dublin","Thousand","43.1"
"Estimated Population (Persons in April)","2013","20 - 24 years","Male","Mid-East","Thousand","17.9"
"Estimated Population (Persons in April)","2013","20 - 24 years","Male","Midland","Thousand","7.8"
"Estimated Population (Persons in April)","2013","20 - 24 years","Female","State","Thousand","138.8"
"Estimated Population (Persons in April)","2013","20 - 24 years","Female","Border","Thousand","10.8"
"Estimated Population (Persons in April)","2013","20 - 24 years","Female","West","Thousand","12.6"
"Estimated Population (Persons in April)","2013","20 - 24 years","Female","Mid-West","Thousand","13.5"
"Estimated Population (Persons in April)","2013","20 - 24 years","Female","South-East","Thousand","11.4"
"Estimated Population (Persons in April)","2013","20 - 24 years","Female","South-West","Thousand","20"
"Estimated Population (Persons in April)","2013","20 - 24 years","Female","Dublin","Thousand","43.1"
"Estimated Population (Persons in April)","2013","20 - 24 years","Female","Mid-East","Thousand","18.8"
"Estimated Population (Persons in April)","2013","20 - 24 years","Female","Midland","Thousand","8.5"
"Estimated Population (Persons in April)","2013","25 - 29 years","Both sexes","State","Thousand","321.8"
"Estimated Population (Persons in April)","2013","25 - 29 years","Both sexes","Border","Thousand","24.1"
"Estimated Population (Persons in April)","2013","25 - 29 years","Both sexes","West","Thousand","26.8"
"Estimated Population (Persons in April)","2013","25 - 29 years","Both sexes","Mid-West","Thousand","29.5"
"Estimated Population (Persons in April)","2013","25 - 29 years","Both sexes","South-East","Thousand","25.7"
"Estimated Population (Persons in April)","2013","25 - 29 years","Both sexes","South-West","Thousand","43.4"
"Estimated Population (Persons in April)","2013","25 - 29 years","Both sexes","Dublin","Thousand","113.1"
"Estimated Population (Persons in April)","2013","25 - 29 years","Both sexes","Mid-East","Thousand","40.4"
"Estimated Population (Persons in April)","2013","25 - 29 years","Both sexes","Midland","Thousand","18.9"
"Estimated Population (Persons in April)","2013","25 - 29 years","Male","State","Thousand","154.7"
"Estimated Population (Persons in April)","2013","25 - 29 years","Male","Border","Thousand","12.4"
"Estimated Population (Persons in April)","2013","25 - 29 years","Male","West","Thousand","12.9"
"Estimated Population (Persons in April)","2013","25 - 29 years","Male","Mid-West","Thousand","14.7"
"Estimated Population (Persons in April)","2013","25 - 29 years","Male","South-East","Thousand","12.4"
"Estimated Population (Persons in April)","2013","25 - 29 years","Male","South-West","Thousand","20.6"
"Estimated Population (Persons in April)","2013","25 - 29 years","Male","Dublin","Thousand","53.1"
"Estimated Population (Persons in April)","2013","25 - 29 years","Male","Mid-East","Thousand","19.5"
"Estimated Population (Persons in April)","2013","25 - 29 years","Male","Midland","Thousand","9"
"Estimated Population (Persons in April)","2013","25 - 29 years","Female","State","Thousand","167.1"
"Estimated Population (Persons in April)","2013","25 - 29 years","Female","Border","Thousand","11.8"
"Estimated Population (Persons in April)","2013","25 - 29 years","Female","West","Thousand","13.8"
"Estimated Population (Persons in April)","2013","25 - 29 years","Female","Mid-West","Thousand","14.8"
"Estimated Population (Persons in April)","2013","25 - 29 years","Female","South-East","Thousand","13.3"
"Estimated Population (Persons in April)","2013","25 - 29 years","Female","South-West","Thousand","22.7"
"Estimated Population (Persons in April)","2013","25 - 29 years","Female","Dublin","Thousand","60"
"Estimated Population (Persons in April)","2013","25 - 29 years","Female","Mid-East","Thousand","20.9"
"Estimated Population (Persons in April)","2013","25 - 29 years","Female","Midland","Thousand","9.8"
"Estimated Population (Persons in April)","2013","30 - 34 years","Both sexes","State","Thousand","391.4"
"Estimated Population (Persons in April)","2013","30 - 34 years","Both sexes","Border","Thousand","28.9"
"Estimated Population (Persons in April)","2013","30 - 34 years","Both sexes","West","Thousand","34.1"
"Estimated Population (Persons in April)","2013","30 - 34 years","Both sexes","Mid-West","Thousand","36"
"Estimated Population (Persons in April)","2013","30 - 34 years","Both sexes","South-East","Thousand","31.5"
"Estimated Population (Persons in April)","2013","30 - 34 years","Both sexes","South-West","Thousand","54.4"
"Estimated Population (Persons in April)","2013","30 - 34 years","Both sexes","Dublin","Thousand","128.3"
"Estimated Population (Persons in April)","2013","30 - 34 years","Both sexes","Mid-East","Thousand","55"
"Estimated Population (Persons in April)","2013","30 - 34 years","Both sexes","Midland","Thousand","23.1"
"Estimated Population (Persons in April)","2013","30 - 34 years","Male","State","Thousand","190.7"
"Estimated Population (Persons in April)","2013","30 - 34 years","Male","Border","Thousand","14.3"
"Estimated Population (Persons in April)","2013","30 - 34 years","Male","West","Thousand","16.5"
"Estimated Population (Persons in April)","2013","30 - 34 years","Male","Mid-West","Thousand","17.9"
"Estimated Population (Persons in April)","2013","30 - 34 years","Male","South-East","Thousand","15.5"
"Estimated Population (Persons in April)","2013","30 - 34 years","Male","South-West","Thousand","26.4"
"Estimated Population (Persons in April)","2013","30 - 34 years","Male","Dublin","Thousand","62.3"
"Estimated Population (Persons in April)","2013","30 - 34 years","Male","Mid-East","Thousand","26.5"
"Estimated Population (Persons in April)","2013","30 - 34 years","Male","Midland","Thousand","11.4"
"Estimated Population (Persons in April)","2013","30 - 34 years","Female","State","Thousand","200.6"
"Estimated Population (Persons in April)","2013","30 - 34 years","Female","Border","Thousand","14.7"
"Estimated Population (Persons in April)","2013","30 - 34 years","Female","West","Thousand","17.7"
"Estimated Population (Persons in April)","2013","30 - 34 years","Female","Mid-West","Thousand","18.1"
"Estimated Population (Persons in April)","2013","30 - 34 years","Female","South-East","Thousand","16"
"Estimated Population (Persons in April)","2013","30 - 34 years","Female","South-West","Thousand","27.9"
"Estimated Population (Persons in April)","2013","30 - 34 years","Female","Dublin","Thousand","66"
"Estimated Population (Persons in April)","2013","30 - 34 years","Female","Mid-East","Thousand","28.5"
"Estimated Population (Persons in April)","2013","30 - 34 years","Female","Midland","Thousand","11.8"
"Estimated Population (Persons in April)","2013","35 - 39 years","Both sexes","State","Thousand","366.8"
"Estimated Population (Persons in April)","2013","35 - 39 years","Both sexes","Border","Thousand","29"
"Estimated Population (Persons in April)","2013","35 - 39 years","Both sexes","West","Thousand","33.1"
"Estimated Population (Persons in April)","2013","35 - 39 years","Both sexes","Mid-West","Thousand","35.5"
"Estimated Population (Persons in April)","2013","35 - 39 years","Both sexes","South-East","Thousand","31.5"
"Estimated Population (Persons in April)","2013","35 - 39 years","Both sexes","South-West","Thousand","52.8"
